ener_f  theta_0  d_theta  beta_0  chi2
192.1  38.80530992969868  29.03753745663176  0.00033570657219648286  30.884930855948614
192.2  38.80529844441593  29.037528099280923  0.0003357066447338889  30.899162261014318
192.3  38.80658943015663  29.037638022696846  0.0003367173899695884  30.897399909839223
192.4  38.806674541892065  29.037692856731077  0.0003367239620354498  30.910980424449313
192.5  38.80783328691485  29.037803432418873  0.00033761658928489427  30.91030889436826
192.6  38.8078930066432  29.037844336150474  0.0003376178493493828  30.92911869254022
192.7  38.80919131116195  29.03797023681689  0.0003386137919155011  30.92690056771873
192.8  38.80925501141281  29.038014809656907  0.0003386148906618601  30.942825290028637
192.9  38.81056146509991  29.038129876305604  0.0003396331261398439  30.93747525453586
193.0  38.88247219729922  29.088963185327326  0.0003405044131541594  30.598301864313676
193.1  38.8815985416863  29.089018989987053  0.00033966100105531756  30.53323859722553
193.2  38.882445263176635  29.089181673359356  0.00034020832692241063  30.534411820263383
193.3  38.882949636951935  29.089235623093717  0.00034058703439352454  30.539400054088052
193.4  38.883830681961484  29.089373877313726  0.0003411974132293061  30.54096812430741
193.5  38.88413028699082  29.08949677412506  0.0003413095777401553  30.551636796747285
193.6  38.88448833494016  29.08951890606937  0.00034159941582218646  30.570314275670587
193.7  38.885881840062474  29.089497376496105  0.0003428584567088211  30.54766326473177
193.8  38.887227509220494  29.090032661093467  0.00034338757802477617  30.54826499922503
193.9  38.88779633042397  29.090118267917887  0.0003437843954800893  30.55073913807334
194.0  38.88934928308998  29.09073407159511  0.00034439786197296965  30.551189903191954
194.1  38.889343256327656  29.09072828563346  0.00034439915486891897  30.56140391547492
194.2  38.89056224809734  29.090873135712233  0.00034529881264133667  30.55656871158019
194.3  38.8915469237886  29.091099299000565  0.0003458900500687399  30.558585689396967
194.4  38.89153795466565  29.0910884029159  0.0003458936875910742  30.57205492385946
194.5  38.89283439138733  29.09117524684047  0.000346934221305644  30.565382212005034
194.6  38.89282149524654  29.091162724324818  0.00034693691822615353  30.57686829365481
194.7  38.89295988272079  29.091265161712805  0.00034693193017397406  30.608691671576132
194.8  38.89262449085986  29.090986075455454  0.0003469799751629436  30.660363826873876
194.9  38.888986195875944  29.086860079483415  0.00034885664410305766  30.60747207944732
195.0  38.89009225369959  29.087009624691383  0.00034965140032531823  30.609062249553112
195.1  38.89008591194988  29.087003661052723  0.0003496524711981291  30.61820605714641
195.2  38.890279290629024  29.087148710063506  0.00034964337450514593  30.64855087548292
195.3  38.890308232480564  29.087162637464225  0.0003496498443337841  30.69967509774742
195.4  38.89314727185195  29.087648687102053  0.0003515629668813198  30.620923226634755
195.5  38.89397348249237  29.08777706807585  0.00035213477038177973  30.62478926561981
195.6  38.893971961666686  29.08777273121958  0.0003521377549997115  30.637455901660058
195.7  38.895239896226975  29.087920180937594  0.00035307821101170843  30.63283647771687
195.8  38.89579234531475  29.087981959629886  0.0003534892418887718  30.63736904316404
195.9  38.89582749703659  29.088004622647233  0.0003534912523878606  30.658589852846955
196.0  38.89597614324882  29.08811371363204  0.0003534869313250798  30.700898878931877
196.1  38.89595063448391  29.088088446427403  0.0003534943551423478  30.76439360868819
196.2  38.8959255166332  29.088067823093983  0.0003534965862397391  30.849304461027174
196.3  38.896641543472384  29.086331079995723  0.0003562780629909666  30.672687790877514
196.4  38.896648591294216  29.086332931680467  0.00035628071706496404  30.688593051136905
196.5  38.897823230535415  29.086437477985065  0.00035719188171552847  30.684060180021408
196.6  38.898661272721064  29.08652766555831  0.00035782101955175467  30.686655737783546
196.7  38.89945110652734  29.086623855921943  0.0003583998442411816  30.690748487732193
196.8  38.89945946186024  29.086629704046057  0.000358398853464974  30.705681757450478
196.9  38.900857469966006  29.086782806362095  0.0003594471770335213  30.700563254126557
197.0  38.900846716984255  29.086772261873787  0.00035944873643850247  30.71539829896779
197.1  38.90261478017699  29.087062731538968  0.00036065415474128773  30.709772501050367
197.2  38.90266225423111  29.087094835238652  0.00036065513685275285  30.718618006854037
